"Sr"	"Locus.name"	"Minimum"	"Maximum"	"Product"	"Chromosome"	"Physical.Map.Position"	"Component.SSRs"	"Overlaps"	"Duplicates"
"148"	"148"	"isep0343"	"5238615"	"5238824"	"209"	"1"	"5.2386"	""	""	""
"152"	"152"	"isep0949"	"5372976"	"5373075"	"99"	"1"	"5.3730"	"SSR segment included in Xiabtp255"	"Overlap with Xiabtp255"	""
"153"	"153"	"iabtp255"	"5372979"	"5373248"	"269"	"1"	"5.3730"	"2 SSRs including that detected by Xisep0949"	"Overlap with Xisep0949"	""
"156"	"156"	"gap256"	"5430559"	"5430727"	"168"	"1"	"5.4306"	""	""	""
"169"	"169"	"isep0350"	"6266122"	"6266314"	"192"	"1"	"6.2661"	""	""	""
"173"	"173"	"isep0336"	"6489527"	"6489728"	"201"	"1"	"6.4895"	""	""	""
"175"	"175"	"iabtp278"	"6545747"	"6545974"	"227"	"1"	"6.5457"	""	""	""
"179"	"179"	"txp071(Mads)"	"6700440"	"6700641"	"201"	"1"	"6.7004"	"SSR segment included in SB0158"	"Overlap with SB0158, Xtxp079 and Xtxp213"	""
"180"	"180"	"txp079(Mads)"	"6700453"	"6700630"	"177"	"1"	"6.7005"	"SSR segment included in SB0158"	"Overlap with SB0158, Xtxp071 and Xtxp213"	""
"181"	"181"	"txp213"	"6700465"	"6700631"	"166"	"1"	"6.7005"	"SSR segment included in SB0158"	"Overlap with SB0158, Xtxp071 and Xtxp079"	""
"182"	"182"	">HvVRN-H"	"6714684"	"6714864"	"180"	"1"	"6.7147"	""	""	""
"183"	"183"	">AsVRN1"	"6714792"	"6714868"	"76"	"1"	"6.7148"	""	""	""
"184"	"184"	">SbPhyC"	"6765395"	"6767757"	"2362"	"1"	"6.7654"	""	""	""
"185"	"185"	"isep0322"	"6789178"	"6789559"	"381"	"1"	"6.7892"	"2 SSRs including that detected by Xisep0327"	"Overlap with Xisep0327"	""
"186"	"186"	"isep0327"	"6789341"	"6789535"	"194"	"1"	"6.7893"	"SSR segment included in Xisep0322"	"Overlap with Xisep0322"	""
"189"	"189"	"SRSC3_007"	"6900130"	"6901884"	"1754"	"1"	"6.9001"	""	""	""
"192"	"192"	"iabtp288"	"6957852"	"6958066"	"214"	"1"	"6.9579"	""	""	""
"193"	"193"	"txp350"	"7020839"	"7021128"	"289"	"1"	"7.0208"	""	"Overlap with Xtxp325(Kaf)"	""
"194"	"194"	"txp325(Kaf)"	"7020894"	"7021141"	"247"	"1"	"7.0209"	""	"Overlap with Xtxp350"	""
"197"	"197"	"iabtp311"	"7056102"	"7056218"	"116"	"1"	"7.0561"	"SSR segment included in SB0164"	"Overlap with SB0164"	""
"199"	"199"	"SRSC3_010"	"7074823"	"7075668"	"845"	"1"	"7.0748"	""	""	""
"206"	"206"	"isep0340"	"7321393"	"7321573"	"180"	"1"	"7.3214"	""	""	""
"207"	"207"	"iabtp409"	"7348286"	"7348386"	"100"	"1"	"7.3483"	""	""	""
"208"	"208"	"cup06"	"7355583"	"7355785"	"202"	"1"	"7.3556"	""	""	""
"213"	"213"	">Sb_adh1"	"7542593"	"7557380"	"14787"	"1"	"7.5426"	""	""	""
"216"	"216"	"iabtp177"	"7620219"	"7620403"	"184"	"1"	"7.6202"	""	""	""
"217"	"217"	"cup08"	"7706970"	"7707090"	"120"	"1"	"7.7070"	""	""	""
"219"	"219"	"cup27"	"7858210"	"7858398"	"188"	"1"	"7.8582"	""	""	""
"222"	"222"	"txp523"	"8017124"	"8017288"	"164"	"1"	"8.0171"	""	""	""
"233"	"233"	"iabtp485"	"8544953"	"8545220"	"267"	"1"	"8.5450"	""	"Overlap with SB0193"	""
"236"	"236"	"mSbCIR347"	"8602247"	"8602364"	"117"	"1"	"8.6022"	""	""	""
"238"	"238"	"mSbCIR268"	"8655306"	"8655507"	"201"	"1"	"8.6553"	""	""	""
"242"	"242"	">SbPhyA"	"8754872"	"8756981"	"2109"	"1"	"8.7549"	""	""	""
"246"	"246"	"SRSC3_012"	"8980277"	"8980709"	"432"	"1"	"8.9803"	""	""	""
"249"	"249"	"txp302"	"9048006"	"9048185"	"179"	"1"	"9.0480"	""	"Overlap with SB0203"	"Similar to SB0203"
"251"	"251"	"SRSC1_005"	"9058585"	"9060227"	"1642"	"1"	"9.0586"	""	""	""
"260"	"260"	"txp482"	"9507370"	"9507603"	"233"	"1"	"9.5074"	"2 SSRs including that detected by SB0212"	"Overlap with SB0212"	""
"263"	"263"	"mSbCIR242"	"9660215"	"9660315"	"100"	"1"	"9.6602"	""	""	""
"283"	"283"	"mSbCIR228"	"10489883"	"10489990"	"107"	"1"	"10.4899"	""	""	""
"286"	"286"	"isep0339"	"10630021"	"10630218"	"197"	"1"	"10.6300"	"SSR segment included in SB0237"	"Overlap with SB0237"	""
"290"	"290"	"iabtp155"	"11109560"	"11109803"	"243"	"1"	"11.1096"	""	"Overlap with SB0241"	""
"295"	"295"	"isep0330"	"11362701"	"11363022"	"321"	"1"	"11.3627"	""	""	""
"300"	"300"	"iabtp413"	"11537581"	"11537781"	"200"	"1"	"11.5376"	""	""	""
"312"	"312"	"isep0728"	"12174784"	"12174972"	"188"	"1"	"12.1748"	""	""	""
"323"	"323"	"SRSC3_008"	"12465068"	"12465352"	"284"	"1"	"12.4651"	""	""	""
"328"	"328"	"iabtp501"	"12721078"	"12721200"	"122"	"1"	"12.7211"	""	"Overlap with SB0276"	""
"351"	"351"	"cup33"	"13557712"	"13557979"	"267"	"1"	"13.5577"	""	""	""
"361"	"361"	"cup24"	"13956716"	"13956931"	"215"	"1"	"13.9567"	""	""	""
"365"	"365"	"iabtp457"	"14099980"	"14100204"	"224"	"1"	"14.1000"	"2 SSRs including that detected by SB0311"	"Overlap with SB0311"	""
"368"	"368"	"iabtp445"	"14253186"	"14253388"	"202"	"1"	"14.2532"	"2 SSRs including that detected by SB0314"	"Overlap with SB0314"	""
"378"	"378"	"iabtp221"	"14634214"	"14634489"	"275"	"1"	"14.6342"	""	"Overlap with SB0322"	""
"382"	"382"	"iabtp355"	"14886099"	"14886408"	"309"	"1"	"14.8861"	""	""	""
"383"	"383"	"SRSC3_004"	"15042663"	"15043211"	"548"	"1"	"15.0427"	""	""	""
"386"	"386"	"cup73"	"15219370"	"15219573"	"203"	"1"	"15.2194"	""	"Overlap with SB0327"	""
"398"	"398"	"cup25"	"16685812"	"16685923"	"111"	"1"	"16.6858"	""	""	""
"404"	"404"	"iabtp358"	"16805149"	"16805398"	"249"	"1"	"16.8051"	""	"Overlap with SB0345"	"Similar to SB0345"
"408"	"408"	"isep1033"	"17255694"	"17255920"	"226"	"1"	"17.2557"	""	""	""
"420"	"420"	"PRSC10_069"	"17873749"	"17874475"	"726"	"1"	"17.8737"	""	""	""
"422"	"422"	"SRSC10_022"	"17991728"	"17992364"	"636"	"1"	"17.9917"	""	""	""
"430"	"430"	"iabtp300"	"18272802"	"18273023"	"221"	"1"	"18.2728"	"SSR segment included in SB0370"	"Overlap with SB0370"	""
"445"	"445"	"isep1026"	"18787051"	"18787245"	"194"	"1"	"18.7871"	""	""	""
"446"	"446"	"SRSC10_015"	"18807098"	"18807493"	"395"	"1"	"18.8071"	""	""	""
"450"	"450"	"SRSC10_019"	"18979919"	"18980371"	"452"	"1"	"18.9799"	""	""	""
"451"	"451"	"SRSC10_006"	"19051137"	"19051305"	"168"	"1"	"19.0511"	""	""	""
"456"	"456"	"isep1038"	"19724191"	"19724398"	"207"	"1"	"19.7242"	""	""	""
"457"	"457"	"isep1025"	"19724847"	"19725048"	"201"	"1"	"19.7248"	""	""	""
"463"	"463"	"SRSC10_017"	"20188695"	"20189532"	"837"	"1"	"20.1887"	""	""	""
"469"	"469"	"SRSC10_011"	"20754696"	"20755558"	"862"	"1"	"20.7547"	""	""	""
"470"	"470"	"SRSC10_024"	"20804119"	"20804411"	"292"	"1"	"20.8041"	""	""	""
"477"	"477"	"iabtp328"	"21621682"	"21621844"	"162"	"1"	"21.6217"	"SSR segment included in SB0407"	"Overlap with SB0407"	""
"482"	"482"	">OsEhd1"	"21924617"	"21924701"	"84"	"1"	"21.9246"	""	""	""
"487"	"487"	"isep1213"	"22334171"	"22334368"	"197"	"1"	"22.3342"	""	""	""
"490"	"490"	"iabtp329"	"23806130"	"23806324"	"194"	"1"	"23.8061"	""	"Overlap with SB0417 and Xtxp357"	"Similar to Xtxp357"
"492"	"492"	"txp357"	"23806237"	"23806509"	"272"	"1"	"23.8062"	""	"Overlap with SB0417 and Xiabtp329"	""
"494"	"494"	"mSbCIR243"	"24188649"	"24188755"	"106"	"1"	"24.1886"	""	""	""
"501"	"501"	"isep0504"	"24774345"	"24774536"	"191"	"1"	"24.7743"	""	"0verlap with Xiabtp053"	""
"502"	"502"	"iabtp053"	"24774414"	"24774626"	"212"	"1"	"24.7744"	""	"Overlap with Xisep0504"	""
"504"	"504"	"SRSC10_021"	"25646751"	"25647166"	"415"	"1"	"25.6468"	""	""	""
"509"	"509"	"isep1003"	"26390075"	"26390335"	"260"	"1"	"26.3901"	""	""	""
"511"	"511"	"iabtp191"	"26612020"	"26612313"	"293"	"1"	"26.6120"	""	"Overlap with SB0431 and Xisep1005"	""
"512"	"512"	"isep1005"	"26612196"	"26612403"	"207"	"1"	"26.6122"	""	"Overlap with Xiabtp191"	"Not same as SB0431"
"519"	"519"	"isep1039"	"27497163"	"27497366"	"203"	"1"	"27.4972"	""	""	""
"524"	"524"	"SRSC10_020"	"27673448"	"27673918"	"470"	"1"	"27.6734"	""	""	""
"528"	"528"	"iabtp090"	"28182708"	"28182914"	"206"	"1"	"28.1827"	""	"Overlap with SB0445"	""
"534"	"534"	"isep1002"	"30043827"	"30044042"	"215"	"1"	"30.0438"	""	""	""
"540"	"540"	"isep1004"	"31756514"	"31756708"	"194"	"1"	"31.7565"	""	""	""
"541"	"541"	"iabtp467"	"32494995"	"32495295"	"300"	"1"	"32.4950"	""	""	""
"542"	"542"	"iabtp052"	"32495492"	"32495756"	"264"	"1"	"32.4955"	""	""	""
"549"	"549"	"SRSC10_008"	"40666953"	"40667541"	"588"	"1"	"40.6670"	""	""	""
"560"	"560"	"gpsb089"	"43883929"	"43884097"	"168"	"1"	"43.8839"	""	""	""
"561"	"561"	"iabtp021"	"44562279"	"44562561"	"282"	"1"	"44.5623"	""	""	""
"564"	"564"	"SRSC10_004"	"45052635"	"45052961"	"326"	"1"	"45.0526"	""	""	""
"581"	"581"	"isep0421"	"48042545"	"48042981"	"436"	"1"	"48.0425"	""	""	""
"582"	"582"	"iabtp087"	"48417163"	"48417399"	"236"	"1"	"48.4172"	""	""	""
"601"	"601"	"iabtp056"	"49348346"	"49348462"	"116"	"1"	"49.3483"	""	""	""
"613"	"613"	"SRSC10_023"	"50114026"	"50115540"	"1514"	"1"	"50.1140"	""	""	""
"614"	"614"	"SRSC10_010"	"50126105"	"50126803"	"698"	"1"	"50.1261"	""	""	""
"615"	"615"	"txp329"	"50132497"	"50132658"	"161"	"1"	"50.1325"	""	""	""
"616"	"616"	"isep1046"	"50249396"	"50249598"	"202"	"1"	"50.2494"	""	"Overlap with SB0515"	""
"619"	"619"	"txp043"	"50267690"	"50267860"	"170"	"1"	"50.2677"	""	"Overlap with SB0516"	""
"623"	"623"	"PRSC10_066"	"50496670"	"50497054"	"384"	"1"	"50.4967"	""	""	""
"625"	"625"	"iabtp034"	"50579202"	"50579478"	"276"	"1"	"50.5792"	""	""	""
"627"	"627"	"iabtp450"	"50672544"	"50672768"	"224"	"1"	"50.6725"	""	""	""
"628"	"628"	"txp088"	"50709458"	"50709601"	"143"	"1"	"50.7095"	""	""	""
"629"	"629"	"txp149"	"50711084"	"50711252"	"168"	"1"	"50.7111"	""	""	""
"634"	"634"	"iabtp054"	"50956532"	"50956829"	"297"	"1"	"50.9565"	""	""	""
"636"	"636"	"isep1035"	"51067960"	"51068110"	"150"	"1"	"51.0680"	""	""	""
"640"	"640"	"iabtp173"	"51374811"	"51375059"	"248"	"1"	"51.3748"	""	""	""
"651"	"651"	"SRSC10_001"	"51878467"	"51879138"	"671"	"1"	"51.8785"	""	""	""
"653"	"653"	"isep1024"	"52056596"	"52056795"	"199"	"1"	"52.0566"	""	""	""
"654"	"654"	"isep1028"	"52057400"	"52057599"	"199"	"1"	"52.0574"	""	""	""
"661"	"661"	"SRSC10_005"	"52368285"	"52368740"	"455"	"1"	"52.3683"	""	""	""
"664"	"664"	"iabtp085"	"52454378"	"52454622"	"244"	"1"	"52.4544"	""	""	""
"673"	"673"	"txp011"	"53020997"	"53021078"	"81"	"1"	"53.0210"	""	""	""
"681"	"681"	"isep1034"	"53588096"	"53588285"	"189"	"1"	"53.5881"	""	""	""
"687"	"687"	"isep0735"	"54426061"	"54426275"	"214"	"1"	"54.4261"	""	""	""
"688"	"688"	"isep0749"	"54474200"	"54474387"	"187"	"1"	"54.4742"	""	"Overlap with Xiabtp086"	"Same as Xiabtp086"
"689"	"689"	"iabtp086"	"54474200"	"54474387"	"187"	"1"	"54.4742"	""	"Overlap with Xisep0749"	"Same as Xisep0749"
"692"	"692"	"iabtp121"	"54502542"	"54502791"	"249"	"1"	"54.5025"	""	"Overlap with SB0571"	""
"695"	"695"	"isep0321"	"54657493"	"54657682"	"189"	"1"	"54.6575"	""	""	""
"703"	"703"	"txp037"	"55123797"	"55123984"	"187"	"1"	"55.1238"	""	""	""
"708"	"708"	"iabtp040"	"55474064"	"55474236"	"172"	"1"	"55.4741"	""	""	""
"716"	"716"	"txp085"	"55780090"	"55780246"	"156"	"1"	"55.7801"	"SSR segment included in SB0594"	"Overlap with SB0594"	""
"717"	"717"	"txp335"	"55812264"	"55812437"	"173"	"1"	"55.8123"	""	"Overlap with XmSbCIR231"	""
"718"	"718"	"mSbCIR231"	"55812340"	"55812486"	"146"	"1"	"55.8123"	""	"Overlap with Xtxp335"	""
"749"	"749"	"mSbCIR286"	"57452822"	"57452951"	"129"	"1"	"57.4528"	""	""	""
"756"	"756"	"iabtp378"	"57754702"	"57754860"	"158"	"1"	"57.7547"	"SSR segment included in SB0630"	"Overlap with SB0630"	""
"765"	"765"	"gap057"	"58781258"	"58781541"	"283"	"1"	"58.7813"	""	""	""
"767"	"767"	"isep0332"	"58905888"	"58906088"	"200"	"1"	"58.9059"	""	"Overlap with SB0645"	""
"781"	"781"	"SRSC3_001"	"60154150"	"60154682"	"532"	"1"	"60.1542"	""	""	""
"782"	"782"	"isep1223"	"60231464"	"60231651"	"187"	"1"	"60.2315"	""	""	""
"786"	"786"	"iabtp210"	"60347346"	"60347518"	"172"	"1"	"60.3473"	""	"Overlap with SB0663"	""
"795"	"795"	"iabtp135"	"60810952"	"60811081"	"129"	"1"	"60.8110"	"SSR segment included in SB0672"	"Overlap with SB0672"	""
"797"	"797"	">SbPhyB"	"60913050"	"60917670"	"4620"	"1"	"60.9131"	""	""	""
"800"	"800"	"txp279"	"61211445"	"61211720"	"275"	"1"	"61.2114"	""	""	""
"807"	"807"	">SbPR-10"	"61564458"	"61565083"	"625"	"1"	"61.5645"	""	""	""
"810"	"810"	"isep0333"	"61649535"	"61649727"	"192"	"1"	"61.6495"	""	""	""
"814"	"814"	"iabtp213"	"61961702"	"61961994"	"292"	"1"	"61.9617"	""	"Overlap with SB0689"	""
"819"	"819"	"isep0326"	"62037363"	"62037667"	"304"	"1"	"62.0374"	""	""	""
"820"	"820"	"txp229"	"62074013"	"62074183"	"170"	"1"	"62.0740"	""	""	""
"825"	"825"	"iabtp503"	"62391947"	"62392193"	"246"	"1"	"62.3919"	""	"Overlap with SB0698"	""
"832"	"832"	"cup60"	"63001240"	"63001391"	"151"	"1"	"63.0012"	""	""	""
"843"	"843"	"isep0334"	"63676097"	"63676294"	"197"	"1"	"63.6761"	""	""	""
"847"	"847"	"gap036"	"63837774"	"63837943"	"169"	"1"	"63.8378"	""	"Overlap with SB0721"	""
"855"	"855"	"iabtp451"	"64226642"	"64226908"	"266"	"1"	"64.2266"	""	"Overlap with XmSbCIR336"	""
"856"	"856"	"mSbCIR336"	"64226786"	"64226967"	"181"	"1"	"64.2268"	""	"Overlap with Xiabtp451"	""
"857"	"857"	"isep0302"	"64382625"	"64382828"	"203"	"1"	"64.3826"	""	""	""
"858"	"858"	"iabtp299"	"64545706"	"64545895"	"189"	"1"	"64.5457"	""	""	""
"864"	"864"	"isep0331"	"64647422"	"64647606"	"184"	"1"	"64.6474"	""	""	""
"869"	"869"	"txp522"	"65084496"	"65084669"	"173"	"1"	"65.0845"	""	""	""
"870"	"870"	"txp284"	"65148753"	"65148971"	"218"	"1"	"65.1488"	""	""	""
"885"	"885"	"SRSC3_013"	"65715419"	"65716481"	"1062"	"1"	"65.7154"	""	""	""
"886"	"886"	"iabtp179"	"65747423"	"65747605"	"182"	"1"	"65.7474"	""	""	""
"888"	"888"	"iabtp209"	"65857077"	"65857342"	"265"	"1"	"65.8571"	""	""	""
"910"	"910"	"SRSC3_006"	"66846526"	"66847770"	"1244"	"1"	"66.8465"	""	""	""
"912"	"912"	"cup44"	"66875941"	"66876158"	"217"	"1"	"66.8759"	""	""	""
"916"	"916"	"isep0309"	"67024757"	"67024918"	"161"	"1"	"67.0248"	""	""	""
"925"	"925"	"iabtp263"	"67429092"	"67429270"	"178"	"1"	"67.4291"	""	""	""
"937"	"937"	"isep0348"	"68207171"	"68207288"	"117"	"1"	"68.2072"	""	""	""
"938"	"938"	"isep0925"	"68213620"	"68213803"	"183"	"1"	"68.2136"	""	""	""
"946"	"946"	"iabtp183"	"68510018"	"68510253"	"235"	"1"	"68.5100"	""	"Overlap with SB0810"	""
"950"	"950"	"isep0950"	"68558493"	"68558768"	"275"	"1"	"68.5585"	""	"Overlap with Xiabtp469 and SB0813"	""
"951"	"951"	"iabtp469"	"68598597"	"68598872"	"275"	"1"	"68.5986"	""	"Overlap with Xisep0850 and SB0813"	""
"955"	"955"	"SRSC3_002"	"68634280"	"68634832"	"552"	"1"	"68.6343"	""	""	""
"959"	"959"	"txp319"	"68741706"	"68741864"	"158"	"1"	"68.7417"	""	"Overlap with SB0818"	""
"960"	"960"	"cup62"	"68743248"	"68743437"	"189"	"1"	"68.7432"	""	""	""
"962"	"962"	"iabtp291"	"68765004"	"68765189"	"185"	"1"	"68.7650"	""	""	""
"967"	"967"	"txp515"	"68842875"	"68843037"	"162"	"1"	"68.8429"	""	""	""
"970"	"970"	"txp519"	"68940760"	"68940948"	"188"	"1"	"68.9408"	""	""	""
"971"	"971"	"isep0313"	"69075143"	"69075370"	"227"	"1"	"69.0751"	""	""	""
"972"	"972"	"isep0315"	"69095083"	"69095284"	"201"	"1"	"69.0951"	""	""	""
"983"	"983"	"txp340"	"69742058"	"69742255"	"197"	"1"	"69.7421"	""	""	""
"996"	"996"	"cup15"	"70945341"	"70945581"	"240"	"1"	"70.9453"	""	""	""
"997"	"997"	"isep0304"	"71009582"	"71009775"	"193"	"1"	"71.0096"	""	""	""
"999"	"999"	"mSbCIR306"	"71037422"	"71037543"	"121"	"1"	"71.0374"	""	""	""
"1000"	"1000"	"isep0301"	"71432762"	"71432956"	"194"	"1"	"71.4328"	""	""	""
"1001"	"1001"	"iabtp262"	"71452114"	"71452256"	"142"	"1"	"71.4521"	""	""	""
"1002"	"1002"	"txp524"	"71475992"	"71476241"	"249"	"1"	"71.4760"	""	""	""
"1003"	"1003"	"isep0312"	"71481235"	"71481545"	"310"	"1"	"71.4812"	""	""	""
"1004"	"1004"	"iabtp350"	"71501167"	"71501457"	"290"	"1"	"71.5012"	"2 SSRs including that detected by SB0858"	"Overlap with SB0858"	""
"1015"	"1015"	"SRSC3_016"	"71937912"	"71938289"	"377"	"1"	"71.9379"	""	""	""
"1018"	"1018"	"txp248"	"72032521"	"72032759"	"238"	"1"	"72.0325"	""	""	""
"1019"	"1019"	"SRSC3_011"	"72055065"	"72056440"	"1375"	"1"	"72.0551"	""	""	""
"1024"	"1024"	"isep0311"	"72295598"	"72295807"	"209"	"1"	"72.2956"	""	""	""
"1025"	"1025"	"isep0305"	"72333310"	"72333502"	"192"	"1"	"72.3333"	""	""	""
"1027"	"1027"	"SRSC2_032"	"72385717"	"72386127"	"410"	"1"	"72.3857"	""	""	""
"1035"	"1035"	"txp316"	"72755181"	"72755509"	"328"	"1"	"72.7552"	""	"Overlap with SB0886"	""
"1036"	"1036"	"txp323"	"72799088"	"72799242"	"154"	"1"	"72.7991"	"SSR segment included in SB0887"	"Overlap with SB0887"	""
"1041"	"1041"	"cup53"	"72905250"	"72905444"	"194"	"1"	"72.9053"	""	""	""
"1045"	"1045"	"iabtp254"	"73012224"	"73012464"	"240"	"1"	"73.0122"	""	"Overlap with SB0894"	"Very similar to SB0894"
"1077"	"1077"	"iabtp224"	"131105"	"131349"	"244"	"2"	"0.1311"	""	""	""
"1078"	"1078"	"iabtp507"	"157999"	"158231"	"232"	"2"	"0.1580"	""	"Overlap with SB0925"	"Similar to SB0925"
"1080"	"1080"	"iabtp331"	"158242"	"158529"	"287"	"2"	"0.1582"	""	""	""
"1099"	"1099"	"isep0747"	"554340"	"554545"	"205"	"2"	"0.5543"	""	"Overlap with SB0943"	"Similar to SB0943"
"1108"	"1108"	">SbMADS2"	"963171"	"963591"	"420"	"2"	"0.9632"	""	""	""
"1111"	"1111"	"txp063"	"1022407"	"1022610"	"203"	"2"	"1.0224"	""	"Overlap with Xtxp096"	"Similar to Xtxp096"
"1112"	"1112"	"txp096"	"1022418"	"1022615"	"197"	"2"	"1.0224"	""	"Overlap with Xtxp063"	"Similar to Xtxp063"
"1118"	"1118"	"txp197"	"1449033"	"1449193"	"160"	"2"	"1.4490"	""	"Overlap with SB0961"	"Similar to SB0961"
"1124"	"1124"	"cup64"	"1990773"	"1990993"	"220"	"2"	"1.9908"	""	"Overlap with Xisep1145"	"Similar to Xisep1145"
"1125"	"1125"	"isep1145"	"1990818"	"1990993"	"175"	"2"	"1.9908"	""	"Overlap with Xcup64"	"Simialr to Xcup64"
"1146"	"1146"	"isep0712"	"3123974"	"3124400"	"426"	"2"	"3.1240"	""	"Overlap with Xisep0703 and Xisep0707"	"Not same as Xisep0737"
"1147"	"1147"	"isep0703"	"3124358"	"3124551"	"193"	"2"	"3.1244"	""	"Overlap with Xisep0707, Xisep0712 and Xisep0737"	"Similar to Xisep0707"
"1148"	"1148"	"isep0707"	"3124380"	"3124551"	"171"	"2"	"3.1244"	""	"Overlap with Xisep0703, Xisep0712 and Xisep0737"	"Similar to Xisep0703"
"1149"	"1149"	"isep0737"	"3124405"	"3124596"	"191"	"2"	"3.1244"	""	"Overlap with Xisep0703 and Xisep0707"	"Not same as Xisep0712"
"1157"	"1157"	"txp080"	"3856548"	"3856833"	"285"	"2"	"3.8565"	""	""	""
"1159"	"1159"	"txp025"	"3917751"	"3917889"	"138"	"2"	"3.9178"	""	""	""
"1161"	"1161"	"iabtp334"	"3935905"	"3936148"	"243"	"2"	"3.9359"	""	""	""
"1162"	"1162"	">HvNAAT1"	"3973742"	"3973937"	"195"	"2"	"3.9737"	""	""	""
"1163"	"1163"	">ZmNAAT1"	"3975172"	"3975513"	"341"	"2"	"3.9752"	""	""	""
"1164"	"1164"	">ZmNAAT1"	"3975172"	"3975513"	"341"	"2"	"3.9752"	""	""	""
"1166"	"1166"	">OsNAAT"	"3988024"	"3988246"	"222"	"2"	"3.9880"	""	""	""
"1170"	"1170"	"txp297"	"4236926"	"4237145"	"219"	"2"	"4.2369"	""	""	""
"1177"	"1177"	"mSbCIR223"	"4657374"	"4657489"	"115"	"2"	"4.6574"	""	""	""
"1180"	"1180"	"iabtp371"	"4705833"	"4706026"	"193"	"2"	"4.7058"	"SSR segment included in SB1018"	"Overlap with SB1018"	""
"1181"	"1181"	"isep0706"	"4753160"	"4753390"	"230"	"2"	"4.7532"	""	""	""
"1183"	"1183"	"isep0701"	"4832865"	"4833078"	"213"	"2"	"4.8329"	""	""	""
"1184"	"1184"	"txp084"	"4853978"	"4854187"	"209"	"2"	"4.8540"	""	""	""
"1186"	"1186"	"iabtp270"	"4916510"	"4916787"	"277"	"2"	"4.9165"	""	""	""
"1189"	"1189"	"txp211"	"4994787"	"4994999"	"212"	"2"	"4.9948"	""	""	""
"1191"	"1191"	"txp050"	"5079970"	"5080267"	"297"	"2"	"5.0800"	""	""	""
"1194"	"1194"	">Sbopaque-2"	"5270049"	"5272868"	"2819"	"2"	"5.2700"	""	""	""
"1196"	"1196"	"isep0724"	"5337032"	"5337237"	"205"	"2"	"5.3370"	""	""	""
"1197"	"1197"	"isep0730"	"5495962"	"5496184"	"222"	"2"	"5.4960"	""	""	""
"1200"	"1200"	"txp304"	"5703328"	"5703630"	"302"	"2"	"5.7033"	""	""	""
