MQTL	Chr	Marker	cM	Mb
NA	SBI-4	gpsb045	159.331053486736	NA
NA	SBI-5	msbcir329	0	NA
NA	SBI-5	txp94	12.8	NA
NA	SBI-5	msbcir248	15.3	NA
NA	SBI-5	gpsb017	15.8	NA
NA	SBI-5	txp30	23	NA
NA	SBI-5	txp303	24.6	NA
NA	SBI-5	txp225	45.7	NA
NA	SBI-5	txp262	105	NA
NA	SBI-5	gpsb032	114.2	NA
NA	SBI-7	gpsb148	0	NA
NA	SBI-7	txp419	0.583864916829864	NA
NA	SBI-7	txp418	1.26719825016311	NA
NA	SBI-7	txp526	2.50053158349636	NA
NA	SBI-7	txp416	2.50053158349656	NA
NA	SBI-7	txp36	3.7338649168298	NA
NA	SBI-7	txp40	3.7338649168298	NA
NA	SBI-7	msbcir348	5.56693245841501	NA
NA	SBI-7	txp414	6.2005315834964	NA
NA	SBI-7	txp417	14.4781506311156	NA
NA	SBI-7	txp413	16.3224363454013	NA
NA	SBI-7	txp481	28.1088649168298	NA
NA	SBI-7	txp312	49.6338649168298	NA
NA	SBI-7	txp92	100.73386491683	NA
NA	SBI-7	msbcir246	102.515135681781	NA
NA	SBI-7	sbagf06	111.177677211684	NA
NA	SBI-7	msbcir300	117.363877826526	NA
NA	SBI-7	txp168	159.43386491683	NA
NA	SBI-8	msbcir240	61.5057839701315	NA
NA	SBI-8	txp354	96.2	NA
NA	SBI-8	txp321	104.2	NA
NA	SBI-8	txp18	109.5	NA
NA	SBI-8	txp516	110.35	NA
NA	SBI-9	txp289	9.34756541575821	NA
NA	SBI-9	txp358	12.9475654157582	NA
NA	SBI-9	txp410	24.1975654157583	NA
NA	SBI-9	txp412	34.2725654157581	NA
NA	SBI-9	txp411	49.4886294155049	NA
NA	SBI-9	txp287	49.9475654157582	NA
NA	SBI-9	txp258	49.9475654157582	NA
NA	SBI-9	txp67	58.8475654157582	NA
NA	SBI-9	txp230	58.8475654157582	NA
NA	SBI-9	isep0550	67.2569614155587	NA
